回答者ID,所属部門,地域,回答者氏名・役職,管掌範囲,主要な管理対象,昨年度IT予算執行額,新しいツールやシステムを導入する時、実際にどのように決めていますか？,判断する時に重視することは何ですか？,中央ITや他部門に相談しますか？,新しいツール・システムの導入で困ることは？,システムの設計・検討段階で、セキュリティをどのように考慮していますか？,ID・アクセス管理 - 認証方法,ID・アクセス管理 - 権限管理,ID・アクセス管理 - 管理方法,データの保護設計はどうなっていますか？,リリース前の検証・評価はどうしていますか？,セキュリティ設計・実装で困ることは？,他部門からデータ提供を依頼された時、どう対応していますか？,データの機密度分類（重要度のランク付け）をしていますか？,データの品質管理はどうしていますか？,重要なデータのバックアップは？,データ管理で困ることは？,本番システムに変更を加える時、どうしていますか？,変更が失敗した時の対応は？,システムトラブルが起きた時、どう対応していますか？,トラブルの重大度は定義されていますか？,トラブル後の振り返りはしていますか？,システム変更・トラブル対応で困ることは？,IT予算はどのように決まっていますか？,予算の使い方に制約はありますか？,予算超過しそうな時はどうしますか？,クラウド（AWS/Azure/GCP等）を使っていますか？,クラウドコストの管理は？,予算・コスト管理で困ることは？,予算・コスト管理で、どんな支援があれば役立ちますか？,ベンダー・SaaSを新規契約する時、どのように決めていますか？,ベンダー選定時に誰が関与しますか？,技術選定やシステム導入で相談する相手は？,ベンダー選定・管理で困っていることは？,どんな支援があれば役立ちますか？,他部門との調整で困ることは？,他地域との調整で困ることは？,どんな基準や支援があれば、もっと迅速に判断・活動できますか？,その他ITガバナンスに関して、ご意見・提言・アイデア等
R021,工場系IT,北米,回答者541,基盤・インフラ、IT組織、IT共通,セキュリティ,9717,上司に報告・承認を得る、中央ITに相談、複数の候補を比較検討,セキュリティ(1)、その他(2)、ベンダーサポート(3),相談先がわからない,承認者が不明確（誰に判をもらえばいいか不明）、予算取りの手続きが不明確,ネットワーク構成図を作成し、境界防御（FW等）を確認している,SSO（シングルサインオン）連携,役割ベース（RBAC）、個別に都度付与、共通アカウントを複数人で利用,ブラウザの保存機能、中央ID基盤（Microsoft Entra ID/Okta等）,操作ログの改ざん防止・長期保存、通信経路の暗号化（SSL/TLS等）,脆弱性診断（スキャン）を自部署で実施、ソースコードの静的解析を実施、外部ベンダーによるペネトレーションテスト,開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している,データの機密度で判断、提供記録（いつ・誰に）を残す、依頼者が社内なら基本的に提供、依頼内容を確認,していない / 分類方法がわからない,定期的なエラーチェック（重複・欠損値の確認）,手動バックアップ,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,変更記録を残す、テスト環境で事前検証、チーム内でレビュー、承認を得る,その場で対応方法を考える、ロールバック手順がある、過去の失敗事例を参考にする,上司に報告、中央ITに連絡、ベンダーに連絡、トラブル記録を残す,明確な定義がある,必ずする,緊急時の手続きが不明確、過去のトラブル情報が共有されていない,よくわからない,総額内なら自由,諦める / サービスを停止する、上司に相談して追加予算を申請、次年度に延期,使っている,コスト最適化施策を実施（リザーブドインスタンス等）、請求書が来てから確認,他部門と重複投資している気がする、予算執行の柔軟性がない,他部門の予算事例・ベンチマーク情報、予算申請テンプレート・ガイドライン、クラウドコスト見積もりツール,中央ITに相談,その他,上司・部門長(1)、その他(2)、中央IT(3),その他、複数社を比較する時間がない,価格妥当性の評価、セキュリティ評価の支援、他部門の導入事例共有,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,時差による調整の困難、言語の壁、優先順位が合わず、対応してもらえない,技術標準やベストプラクティスの共有,
R022,本社系IT,EMEA,回答者367,IT組織,セキュリティ,3668,無料トライアルで試用、その他,セキュリティ(1)、チーム内に使える人がいるか(2)、その他(3),相談先がわからない,承認者が不明確（誰に判をもらえばいいか不明）、予算取りの手続きが不明確、技術的な評価ができる人材がいない、承認に時間がかかりすぎる,企画段階でセキュリティ要件（守るべきデータ等）を定義している、外部公開する窓口（APIやWeb公開）を最小限に絞っている、開発/テスト環境と本番環境を分離している、ネットワーク構成図を作成し、境界防御（FW等）を確認している,単一パスワード、SSO（シングルサインオン）連携,役割ベース（RBAC）、個別に都度付与,Excelやメモで管理、1Password等の管理ツール、ブラウザの保存機能,保存データの暗号化、通信経路の暗号化（SSL/TLS等）,外部ベンダーによるペネトレーションテスト、中央IT/セキュリティ部門によるアーキテクチャ審査,自部署の構成が全社のセキュリティ標準に合っているか判断できない,個人情報が含まれるかチェック,していない / 分類方法がわからない,問題が起きたら都度対応、品質測定指標（SLA）を設定している、定期的なエラーチェック（重複・欠損値の確認）,自動バックアップ,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,チーム内でレビュー、変更計画書を作成、テスト環境で事前検証、ロールバック（切り戻し）手順を準備,ロールバック手順がある,中央ITに連絡、ベンダーに連絡、上司に報告,定義がない,重大なもののみ,緊急時の手続きが不明確、承認プロセスが遅い、過去のトラブル情報が共有されていない,上位組織から割り当て、プロジェクトの積み上げ,用途別に厳格に管理,諦める / サービスを停止する、次年度に延期,使っていない,特に見ていない,予算執行の柔軟性がない,IT投資の費用対効果評価の支援、クラウドコスト見積もりツール、他部門の予算事例・ベンチマーク情報、予算計画策定の相談窓口,"中央ITに相談、セキュリティ評価（ISMS, SOC2等）を実施",ベンダー・SaaS提供元、自分（現場担当者）、調達部門,上司・部門長(1)、他部門の経験者(2)、外部コンサルタント(3),契約条件が妥当か判断できない、ベンダーを変更したいが難しい、複数社を比較する時間がない、技術的な評価ができない,推奨ベンダーリスト,技術仕様や標準が異なり、話が噛み合わない、意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない,その他,困った時の「技術相談窓口」の明確化、投資額ごとの「スピード承認」枠組み,承認プロセスを簡素化してほしい
R023,ビジネス系IT,日本,回答者41,IT共通,インフラ全般,8309,調達部門に依頼、上司に報告・承認を得る、チーム内で必要性を議論、無料トライアルで試用,チーム内に使える人がいるか(1)、その他(2)、コスト(3),必ず相談する,機密情報の定義が難しく、導入して良いか判断に迷う、技術的な評価ができる人材がいない,最小権限の原則（必要な人にのみ権限付与）に基づき設計している,単一パスワード、SSO（シングルサインオン）連携、MFA（二段階認証）,役割ベース（RBAC）、個別に都度付与,Excelやメモで管理,保存データの暗号化、個人情報・機密情報のマスキング（非表示化）処理,ソースコードの静的解析を実施,開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している,提供記録（いつ・誰に）を残す、上司に確認,独自の基準で分類している,定期的なエラーチェック（重複・欠損値の確認）,していない,データのオーナー（責任者）が誰か不明確、他部門と同じデータなのに定義や形式が違う,テスト環境で事前検証,ロールバック手順がある、その場で対応方法を考える,その他,なんとなく判断している,していない,承認プロセスが遅い,プロジェクトの積み上げ,よくわからない,上司に相談して追加予算を申請,使っている,請求書が来てから確認、予算アラート設定、毎月モニタリング、コスト最適化施策を実施（リザーブドインスタンス等）,予算申請の手続きが不明確、コスト配分の基準がわからない,IT投資の費用対効果評価の支援、予算申請テンプレート・ガイドライン、コスト最適化のベストプラクティス共有,無料トライアルで評価,中央IT,チーム内で議論(1)、ベンダー・SaaS提供元(2)、中央IT(3),契約条件が妥当か判断できない、複数社を比較する時間がない、技術的な評価ができない,契約条件のレビュー、他部門の導入事例共有,意思決定プロセス（誰の許可が必要か）が不透明、技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない,優先順位が合わず、対応してもらえない、言語の壁、技術仕様や標準が異なり、話が噛み合わない、意思決定プロセス（誰の許可が必要か）が不透明,その他,
R024,本社系IT,日本,回答者974,ビジネスプロセス、IT共通,インフラ全般,1803,上司に報告・承認を得る、調達部門に依頼,コスト(1)、使いやすさ(2)、既存システムとの連携(3),時々相談する,機密情報の定義が難しく、導入して良いか判断に迷う,開発/テスト環境と本番環境を分離している、特に明文化された設計プロセスはない,SSO（シングルサインオン）連携,役割ベース（RBAC）、共通アカウントを複数人で利用,ブラウザの保存機能、中央ID基盤（Microsoft Entra ID/Okta等）,個人情報・機密情報のマスキング（非表示化）処理、操作ログの改ざん防止・長期保存、通信経路の暗号化（SSL/TLS等）,ソースコードの静的解析を実施、脆弱性診断（スキャン）を自部署で実施、中央IT/セキュリティ部門によるアーキテクチャ審査,自部署の構成が全社のセキュリティ標準に合っているか判断できない、開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している,上司に確認、データの機密度で判断、依頼内容を確認、提供記録（いつ・誰に）を残す,していない / 分類方法がわからない,品質測定指標（SLA）を設定している,していない,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,ロールバック（切り戻し）手順を準備、変更記録を残す、チーム内でレビュー,ロールバック手順がある、過去の失敗事例を参考にする,ベンダーに連絡、上司に報告、チーム内で対応,明確な定義がある,重大なもののみ,緊急時の手続きが不明確,前年度実績ベース,総額内なら自由,上司に相談して追加予算を申請、諦める / サービスを停止する,使っている,四半期ごとに確認,その他,その他,その他,上司・部門長、自分（現場担当者）、調達部門、法務,チーム内で議論(1)、ベンダー・SaaS提供元(2)、その他(3),ベンダーを変更したいが難しい、技術的な評価ができない、複数社を比較する時間がない、契約条件が妥当か判断できない,契約条件のレビュー、推奨ベンダーリスト,特に困っていない,その他,困った時の「技術相談窓口」の明確化、技術標準やベストプラクティスの共有、他部門・他地域との調整を支援する仲介役,他部門の成功事例を共有する場がほしい
R025,工場系IT,北米,回答者205,IT組織、業務アプリケーション、ビジネスプロセス,セキュリティ,5983,無料トライアルで試用、中央ITに相談、調達部門に依頼、複数の候補を比較検討,セキュリティ(1)、使いやすさ(2)、コスト(3),必ず相談する,予算取りの手続きが不明確、承認者が不明確（誰に判をもらえばいいか不明）,外部公開する窓口（APIやWeb公開）を最小限に絞っている、最小権限の原則（必要な人にのみ権限付与）に基づき設計している、開発/テスト環境と本番環境を分離している、企画段階でセキュリティ要件（守るべきデータ等）を定義している,単一パスワード,共通アカウントを複数人で利用、役割ベース（RBAC）,中央ID基盤（Microsoft Entra ID/Okta等）、ブラウザの保存機能,通信経路の暗号化（SSL/TLS等）,中央IT/セキュリティ部門によるアーキテクチャ審査、外部ベンダーによるペネトレーションテスト、脆弱性診断（スキャン）を自部署で実施,開発スピード優先で、セキュリティ設計の時間が取れない、自部署の構成が全社のセキュリティ標準に合っているか判断できない,データの機密度で判断、依頼者が社内なら基本的に提供,規程通りに分類している,定期的なエラーチェック（重複・欠損値の確認）、問題が起きたら都度対応,クラウド/システム任せ（詳細は不明）,他部門と同じデータなのに定義や形式が違う,承認を得る,事前に計画していない,チーム内で対応、上司に報告,定義がない,必ずする,承認プロセスが遅い、緊急時の手続きが不明確、過去のトラブル情報が共有されていない,部門全体の予算から配分,用途別に厳格に管理,上司に相談して追加予算を申請、他の項目を削って調整、次年度に延期、諦める / サービスを停止する,使っている,その他、特に見ていない,特に困っていない,クラウドコスト見積もりツール、コスト最適化のベストプラクティス共有,他部門の導入実績を参考、既存ベンダーから選定,上司・部門長、ベンダー・SaaS提供元、自分（現場担当者）,外部コンサルタント(1)、他部門の経験者(2)、ベンダー・SaaS提供元(3),技術的な評価ができない,価格妥当性の評価、他部門の導入事例共有,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない,意思決定プロセス（誰の許可が必要か）が不透明、言語の壁,技術標準やベストプラクティスの共有,
R026,インフラ,北米,回答者458,基盤・インフラ,受注プロセス,4188,無料トライアルで試用、チーム内で必要性を議論、中央ITに相談,コスト(1)、他部門での導入実績(2)、ベンダーサポート(3),相談先がわからない,承認に時間がかかりすぎる、比較検討する時間がない,その他,SSO（シングルサインオン）連携、単一パスワード,役割ベース（RBAC）,Excelやメモで管理、1Password等の管理ツール、中央ID基盤（Microsoft Entra ID/Okta等）,通信経路の暗号化（SSL/TLS等）、操作ログの改ざん防止・長期保存、保存データの暗号化、個人情報・機密情報のマスキング（非表示化）処理,脆弱性診断（スキャン）を自部署で実施、ソースコードの静的解析を実施、外部ベンダーによるペネトレーションテスト、中央IT/セキュリティ部門によるアーキテクチャ審査,多層防御などの高度な設計スキルが不足している,データの機密度で判断、依頼者が社内なら基本的に提供,規程通りに分類している,問題が起きたら都度対応、品質測定指標（SLA）を設定している、定期的なエラーチェック（重複・欠損値の確認）,自動バックアップ,他部門と同じデータなのに定義や形式が違う,変更計画書を作成、チーム内でレビュー、承認を得る、変更記録を残す,過去の失敗事例を参考にする、その場で対応方法を考える,中央ITに連絡,なんとなく判断している,方法がわからない,緊急時の手続きが不明確、過去のトラブル情報が共有されていない,その他,用途別に厳格に管理,上司に相談して追加予算を申請、次年度に延期、他の項目を削って調整,使っている,請求書が来てから確認、四半期ごとに確認、予算アラート設定、毎月モニタリング,他部門と重複投資している気がする、クラウドコストが予測できない、予算申請の手続きが不明確、予算執行の柔軟性がない,予算申請テンプレート・ガイドライン,"セキュリティ評価（ISMS, SOC2等）を実施、中央ITに相談、無料トライアルで評価、複数社を比較検討",法務、ベンダー・SaaS提供元,その他(1)、ベンダー・SaaS提供元(2)、他部門の経験者(3),適切なベンダーの探し方がわからない,他部門の導入事例共有,意思決定プロセス（誰の許可が必要か）が不透明、技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない,誰に連絡すればいいかわからない（窓口不明）,投資額ごとの「スピード承認」枠組み,
R027,その他,北米,回答者207,業務アプリケーション、IT組織、基盤・インフラ,インフラ全般,1197,中央ITに相談、無料トライアルで試用、調達部門に依頼、上司に報告・承認を得る,その他(1)、ベンダーサポート(2)、コスト(3),ほぼ相談しない,予算取りの手続きが不明確、承認に時間がかかりすぎる、機密情報の定義が難しく、導入して良いか判断に迷う、比較検討する時間がない,企画段階でセキュリティ要件（守るべきデータ等）を定義している,MFA（二段階認証）,個別に都度付与、共通アカウントを複数人で利用,中央ID基盤（Microsoft Entra ID/Okta等）、1Password等の管理ツール、Excelやメモで管理、ブラウザの保存機能,保存データの暗号化、通信経路の暗号化（SSL/TLS等）、操作ログの改ざん防止・長期保存、個人情報・機密情報のマスキング（非表示化）処理,中央IT/セキュリティ部門によるアーキテクチャ審査、ソースコードの静的解析を実施、脆弱性診断（スキャン）を自部署で実施、外部ベンダーによるペネトレーションテスト,特に困っていない,データの機密度で判断,していない / 分類方法がわからない,品質測定指標（SLA）を設定している、問題が起きたら都度対応、定期的なエラーチェック（重複・欠損値の確認）,自動バックアップ,他部門と同じデータなのに定義や形式が違う,ロールバック（切り戻し）手順を準備、テスト環境で事前検証、承認を得る、チーム内でレビュー,ロールバック手順がある,中央ITに連絡、上司に報告、ベンダーに連絡、チーム内で対応,わからない,重大なもののみ,ロールバック方法がわからない,前年度実績ベース、プロジェクトの積み上げ、上位組織から割り当て、部門全体の予算から配分,上司の承認が必要,諦める / サービスを停止する、次年度に延期、上司に相談して追加予算を申請、他の項目を削って調整,使っている,四半期ごとに確認、予算アラート設定、請求書が来てから確認、コスト最適化施策を実施（リザーブドインスタンス等）,クラウドコストが予測できない、予算申請の手続きが不明確、予算執行の柔軟性がない,他部門の予算事例・ベンチマーク情報、クラウドコスト見積もりツール,中央ITに相談,ベンダー・SaaS提供元,チーム内で議論(1)、ベンダー・SaaS提供元(2)、上司・部門長(3),技術的な評価ができない,価格妥当性の評価、契約条件のレビュー、セキュリティ評価の支援,優先順位が合わず、対応してもらえない、技術仕様や標準が異なり、話が噛み合わない,言語の壁、技術仕様や標準が異なり、話が噛み合わない、時差による調整の困難、優先順位が合わず、対応してもらえない,「全社推奨ツール・ベンダー」のリスト、投資額ごとの「スピード承認」枠組み、困った時の「技術相談窓口」の明確化,他部門の成功事例を共有する場がほしい
R028,本社系IT,北米,回答者268,その他、基盤・インフラ、業務アプリケーション,受注プロセス,8575,中央ITに相談,ベンダーサポート(1)、既存システムとの連携(2)、チーム内に使える人がいるか(3),ほぼ相談しない,比較検討する時間がない,最小権限の原則（必要な人にのみ権限付与）に基づき設計している、開発/テスト環境と本番環境を分離している、ネットワーク構成図を作成し、境界防御（FW等）を確認している,SSO（シングルサインオン）連携,役割ベース（RBAC）、個別に都度付与、共通アカウントを複数人で利用,Excelやメモで管理、中央ID基盤（Microsoft Entra ID/Okta等）、ブラウザの保存機能、1Password等の管理ツール,操作ログの改ざん防止・長期保存,中央IT/セキュリティ部門によるアーキテクチャ審査、外部ベンダーによるペネトレーションテスト,特に困っていない,提供記録（いつ・誰に）を残す,分類したいが、基準が不明確（難解）で迷うことがある,品質測定指標（SLA）を設定している、問題が起きたら都度対応,自動バックアップ,データのオーナー（責任者）が誰か不明確、他部門と同じデータなのに定義や形式が違う,テスト環境で事前検証,事前に計画していない、その場で対応方法を考える,中央ITに連絡、トラブル記録を残す,わからない,重大なもののみ,過去のトラブル情報が共有されていない、緊急時の手続きが不明確、承認プロセスが遅い,よくわからない,用途別に厳格に管理,次年度に延期、諦める / サービスを停止する,使っている,四半期ごとに確認、コスト最適化施策を実施（リザーブドインスタンス等）、請求書が来てから確認,クラウドコストが予測できない、予算執行の柔軟性がない、予算申請の手続きが不明確、他部門と重複投資している気がする,予算計画策定の相談窓口、予算申請テンプレート・ガイドライン、他部門の予算事例・ベンチマーク情報、IT投資の費用対効果評価の支援,複数社を比較検討、既存ベンダーから選定、中央ITに相談,ベンダー・SaaS提供元,外部コンサルタント(1)、上司・部門長(2)、その他(3),契約条件が妥当か判断できない、複数社を比較する時間がない、ベンダーを変更したいが難しい,推奨ベンダーリスト、ベンダー比較評価のサポート、他部門の導入事例共有,優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,意思決定プロセス（誰の許可が必要か）が不透明、時差による調整の困難,セキュリティリスクの「セルフチェックリスト」、困った時の「技術相談窓口」の明確化,セキュリティ基準をもっとわかりやすくしてほしい
R029,インフラ,日本,回答者217,ビジネスプロセス、IT組織、業務アプリケーション,販売管理システム,6106,上司に報告・承認を得る,セキュリティ(1)、ベンダーサポート(2)、その他(3),必ず相談する,比較検討する時間がない,企画段階でセキュリティ要件（守るべきデータ等）を定義している,MFA（二段階認証）、SSO（シングルサインオン）連携,個別に都度付与、役割ベース（RBAC）,Excelやメモで管理,操作ログの改ざん防止・長期保存,外部ベンダーによるペネトレーションテスト、脆弱性診断（スキャン）を自部署で実施,自部署の構成が全社のセキュリティ標準に合っているか判断できない、多層防御などの高度な設計スキルが不足している、開発スピード優先で、セキュリティ設計の時間が取れない,個人情報が含まれるかチェック、依頼者が社内なら基本的に提供、提供記録（いつ・誰に）を残す、データの機密度で判断,分類したいが、基準が不明確（難解）で迷うことがある,特に何もしていない、問題が起きたら都度対応,クラウド/システム任せ（詳細は不明）,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,チーム内でレビュー,過去の失敗事例を参考にする,上司に報告、トラブル記録を残す,明確な定義がある,していない,過去のトラブル情報が共有されていない,部門全体の予算から配分、プロジェクトの積み上げ、上位組織から割り当て、前年度実績ベース,用途別に厳格に管理,上司に相談して追加予算を申請、他の項目を削って調整,使っていない,特に見ていない,クラウドコストが予測できない,IT投資の費用対効果評価の支援,中央ITに相談、既存ベンダーから選定、複数社を比較検討、調達部門に依頼,その他,ベンダー・SaaS提供元(1)、その他(2)、中央IT(3),特に困っていない、ベンダーを変更したいが難しい,その他,技術仕様や標準が異なり、話が噛み合わない,言語の壁、時差による調整の困難、技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない,技術標準やベストプラクティスの共有,
R030,インフラ,日本,回答者495,ビジネスプロセス、IT共通,セキュリティ,853,チーム内で必要性を議論、中央ITに相談、複数の候補を比較検討,既存システムとの連携(1)、セキュリティ(2)、ベンダーサポート(3),ほぼ相談しない,承認に時間がかかりすぎる,開発/テスト環境と本番環境を分離している、最小権限の原則（必要な人にのみ権限付与）に基づき設計している,MFA（二段階認証）、単一パスワード、SSO（シングルサインオン）連携,共通アカウントを複数人で利用,ブラウザの保存機能、1Password等の管理ツール,通信経路の暗号化（SSL/TLS等）、個人情報・機密情報のマスキング（非表示化）処理、操作ログの改ざん防止・長期保存,外部ベンダーによるペネトレーションテスト、ソースコードの静的解析を実施,その他,その他,規程通りに分類している,品質測定指標（SLA）を設定している,クラウド/システム任せ（詳細は不明）,他部門と同じデータなのに定義や形式が違う,変更記録を残す,過去の失敗事例を参考にする,その他,なんとなく判断している,方法がわからない,過去のトラブル情報が共有されていない、緊急時の手続きが不明確,よくわからない、その他,用途別に厳格に管理,諦める / サービスを停止する、上司に相談して追加予算を申請、次年度に延期,使っている,請求書が来てから確認、コスト最適化施策を実施（リザーブドインスタンス等）、予算アラート設定,予算執行の柔軟性がない、クラウドコストが予測できない,予算申請テンプレート・ガイドライン、IT投資の費用対効果評価の支援,複数社を比較検討、他部門の導入実績を参考,ベンダー・SaaS提供元、調達部門,チーム内で議論(1)、ベンダー・SaaS提供元(2)、その他(3),その他,セキュリティ評価の支援、ベンダー比較評価のサポート,意思決定プロセス（誰の許可が必要か）が不透明,優先順位が合わず、対応してもらえない、言語の壁,投資額ごとの「スピード承認」枠組み、困った時の「技術相談窓口」の明確化,
R031,本社系IT,北米,回答者517,IT共通、IT組織,受注プロセス,4582,無料トライアルで試用、上司に報告・承認を得る、複数の候補を比較検討,チーム内に使える人がいるか(1)、他部門での導入実績(2)、セキュリティ(3),時々相談する,比較検討する時間がない、技術的な評価ができる人材がいない、承認者が不明確（誰に判をもらえばいいか不明）,ネットワーク構成図を作成し、境界防御（FW等）を確認している、外部公開する窓口（APIやWeb公開）を最小限に絞っている,SSO（シングルサインオン）連携、MFA（二段階認証）,共通アカウントを複数人で利用,Excelやメモで管理、中央ID基盤（Microsoft Entra ID/Okta等）,個人情報・機密情報のマスキング（非表示化）処理、操作ログの改ざん防止・長期保存、通信経路の暗号化（SSL/TLS等）,外部ベンダーによるペネトレーションテスト、脆弱性診断（スキャン）を自部署で実施、中央IT/セキュリティ部門によるアーキテクチャ審査,自部署の構成が全社のセキュリティ標準に合っているか判断できない,上司に確認、個人情報が含まれるかチェック,規程通りに分類している,定期的なエラーチェック（重複・欠損値の確認）,していない,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,チーム内でレビュー、変更記録を残す、変更計画書を作成、承認を得る,ロールバック手順がある、その場で対応方法を考える,ベンダーに連絡,わからない,必ずする,過去のトラブル情報が共有されていない、緊急時の手続きが不明確、承認プロセスが遅い,上位組織から割り当て、前年度実績ベース,上司の承認が必要,その他、他の項目を削って調整,使っている,毎月モニタリング、四半期ごとに確認,他部門と重複投資している気がする,他部門の予算事例・ベンチマーク情報、IT投資の費用対効果評価の支援、クラウドコスト見積もりツール,複数社を比較検討、既存ベンダーから選定、他部門の導入実績を参考,自分（現場担当者）、上司・部門長,中央IT(1)、他部門の経験者(2)、チーム内で議論(3),ベンダーを変更したいが難しい、契約条件が妥当か判断できない、技術的な評価ができない,他部門の導入事例共有、推奨ベンダーリスト、価格妥当性の評価,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,セキュリティリスクの「セルフチェックリスト」、他部門・他地域との調整を支援する仲介役、困った時の「技術相談窓口」の明確化,
R032,セキュリティ,EMEA,回答者10,その他,インフラ全般,7401,チーム内で必要性を議論、無料トライアルで試用,ベンダーサポート(1)、その他(2)、コスト(3),相談先がわからない,予算取りの手続きが不明確、技術的な評価ができる人材がいない、承認者が不明確（誰に判をもらえばいいか不明）,開発/テスト環境と本番環境を分離している、企画段階でセキュリティ要件（守るべきデータ等）を定義している、ネットワーク構成図を作成し、境界防御（FW等）を確認している、外部公開する窓口（APIやWeb公開）を最小限に絞っている,単一パスワード,共通アカウントを複数人で利用、役割ベース（RBAC）、個別に都度付与,中央ID基盤（Microsoft Entra ID/Okta等）、1Password等の管理ツール,保存データの暗号化、操作ログの改ざん防止・長期保存、個人情報・機密情報のマスキング（非表示化）処理、通信経路の暗号化（SSL/TLS等）,脆弱性診断（スキャン）を自部署で実施、外部ベンダーによるペネトレーションテスト、中央IT/セキュリティ部門によるアーキテクチャ審査,開発スピード優先で、セキュリティ設計の時間が取れない、自部署の構成が全社のセキュリティ標準に合っているか判断できない,上司に確認、データの機密度で判断,分類したいが、基準が不明確（難解）で迷うことがある,品質測定指標（SLA）を設定している、問題が起きたら都度対応、定期的なエラーチェック（重複・欠損値の確認）,クラウド/システム任せ（詳細は不明）,他部門と同じデータなのに定義や形式が違う,ロールバック（切り戻し）手順を準備,ロールバック手順がある、その場で対応方法を考える、過去の失敗事例を参考にする,トラブル記録を残す、上司に報告、中央ITに連絡,明確な定義がある,必ずする,過去のトラブル情報が共有されていない、承認プロセスが遅い,よくわからない,よくわからない,諦める / サービスを停止する、次年度に延期,使っていない,その他,その他,予算申請テンプレート・ガイドライン,"中央ITに相談、セキュリティ評価（ISMS, SOC2等）を実施、複数社を比較検討、既存ベンダーから選定",上司・部門長、中央IT、ベンダー・SaaS提供元,上司・部門長(1)、その他(2)、外部コンサルタント(3),技術的な評価ができない、複数社を比較する時間がない、契約条件が妥当か判断できない,他部門の導入事例共有,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,言語の壁、時差による調整の困難,その他,特になし
R033,ビジネス系IT,日本,回答者326,IT共通、基盤・インフラ,インフラ全般,9671,無料トライアルで試用、上司に報告・承認を得る、複数の候補を比較検討,コスト(1)、チーム内に使える人がいるか(2)、使いやすさ(3),相談先がわからない,承認者が不明確（誰に判をもらえばいいか不明）、比較検討する時間がない、機密情報の定義が難しく、導入して良いか判断に迷う、技術的な評価ができる人材がいない,開発/テスト環境と本番環境を分離している、外部公開する窓口（APIやWeb公開）を最小限に絞っている、ネットワーク構成図を作成し、境界防御（FW等）を確認している、最小権限の原則（必要な人にのみ権限付与）に基づき設計している,単一パスワード,個別に都度付与,ブラウザの保存機能,保存データの暗号化,特になし,自部署の構成が全社のセキュリティ標準に合っているか判断できない、開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している,提供記録（いつ・誰に）を残す、個人情報が含まれるかチェック、上司に確認、依頼者が社内なら基本的に提供,分類したいが、基準が不明確（難解）で迷うことがある,問題が起きたら都度対応、品質測定指標（SLA）を設定している、定期的なエラーチェック（重複・欠損値の確認）,手動バックアップ,データのオーナー（責任者）が誰か不明確,ロールバック（切り戻し）手順を準備,過去の失敗事例を参考にする、ロールバック手順がある、その場で対応方法を考える,トラブル記録を残す、中央ITに連絡,なんとなく判断している,方法がわからない,過去のトラブル情報が共有されていない、緊急時の手続きが不明確,プロジェクトの積み上げ、前年度実績ベース、上位組織から割り当て、部門全体の予算から配分,よくわからない,次年度に延期、他の項目を削って調整,使っていない,特に見ていない,他部門と重複投資している気がする、予算執行の柔軟性がない、クラウドコストが予測できない,IT投資の費用対効果評価の支援、他部門の予算事例・ベンチマーク情報、予算申請テンプレート・ガイドライン、コスト最適化のベストプラクティス共有,中央ITに相談、他部門の導入実績を参考,中央IT、ベンダー・SaaS提供元、自分（現場担当者）,他部門の経験者(1)、上司・部門長(2)、ベンダー・SaaS提供元(3),契約条件が妥当か判断できない,推奨ベンダーリスト、契約条件のレビュー,意思決定プロセス（誰の許可が必要か）が不透明,技術仕様や標準が異なり、話が噛み合わない、時差による調整の困難、意思決定プロセス（誰の許可が必要か）が不透明,他部門・他地域との調整を支援する仲介役、セキュリティリスクの「セルフチェックリスト」,
