文書ID,文書名称,文書種別,作成日,作成者,登録日,登録者,媒体,保管場所（物理）,保管場所（電子）,ファイルパス,保存期間,保存期間起算日,廃棄予定日,法的根拠,重要度,アクセス制限,関連文書ID,バージョン,状態,承認者,承認日,備考
DOC-2024-1534,2024年11月分出勤簿,出勤簿,2024-11-30,人事部 渡辺真理,2024-12-01,人事部 渡辺真理,電子のみ,,勤怠システム,/勤怠/2024/11月_出勤簿.csv,5,2024-11-30,2029-11-30,労働基準法第109条,重要,部門限定,,,保管中,,,
DOC-2024-1535,新入社員研修記録_2024年度,研修記録,2024-10-15,人事部 小林恵子,2024-10-16,人事部 渡辺真理,電子のみ,,SharePoint>人事部,/人事/研修/2024_新入社員.xlsx,3,2024-10-15,2027-10-15,,通常,部門限定,,,保管中,,,
DOC-2024-1536,2023年度総勘定元帳,総勘定元帳,2024-04-30,経理部 高橋美咲,2024-05-01,経理部 高橋美咲,電子のみ,,会計システム,/会計/2023/総勘定元帳.dat,10,2024-03-31,2034-03-31,会社法第432条,極めて重要,機密,,,保管中,経理部長 中島良介,2024-05-10,電帳法対応
DOC-2024-1537,2023年度仕訳帳,仕訳帳,2024-04-30,経理部 高橋美咲,2024-05-01,経理部 高橋美咲,電子のみ,,会計システム,/会計/2023/仕訳帳.dat,10,2024-03-31,2034-03-31,会社法第432条,極めて重要,機密,,,保管中,経理部長 中島良介,2024-05-10,
DOC-2024-1538,2023年度消費税申告書,消費税申告書,2024-05-30,経理部 高橋美咲,2024-05-30,経理部 高橋美咲,紙+電子,本社書庫C,会計システム,/税務/2023/消費税申告.pdf,7,2024-05-31,2031-05-31,消費税法,極めて重要,機密,,,保管中,経理部長 中島良介,2024-05-31,
DOC-2024-1539,2023年度有価証券報告書,有価証券報告書,2024-06-25,経理部 高橋美咲,2024-06-26,経理部 高橋美咲,電子のみ,,EDINET、社内サーバー,/法定開示/2023/有価証券報告書.pdf,10,2024-06-28,2034-06-28,金融商品取引法,極めて重要,公開,,,保管中,経理部長 中島良介,2024-06-27,
DOC-2024-1540,2023年度計算書類,計算書類,2024-06-20,経理部 高橋美咲,2024-06-21,経理部 高橋美咲,紙+電子,本社書庫A,会計システム,/決算/2023/計算書類.pdf,10,2024-06-20,2034-06-20,会社法第442条,極めて重要,部門限定,,,保管中,経理部長 中島良介,2024-06-25,
DOC-2024-1541,H社売買契約書,売買契約書,2024-11-20,法務部 山田花子,2024-11-21,総務部 田中次郎,紙+電子,本社書庫A,契約管理システム,/契約/2024/H社_売買.pdf,10,2025-12-31,2035-12-31,民法第166条,重要,機密,,v1.0,保管中,法務部長 鈴木健,2024-11-25,
DOC-2024-1542,特許出願書類_製品Z,特許関連書類,2024-09-01,知財部 佐藤一郎,2024-09-02,総務部 田中次郎,紙+電子,本社書庫B,知財管理システム,/知財/特許/2024/製品Z.pdf,30,2024-09-01,2054-09-01,特許法,極めて重要,機密,,v1.0,保管中,知財部長 佐藤一郎,2024-09-05,
DOC-2024-1543,商標登録証_ロゴマーク,商標関連書類,2024-08-15,知財部 佐藤一郎,2024-08-16,総務部 田中次郎,電子のみ,,知財管理システム,/知財/商標/2024/ロゴマーク_登録証.pdf,30,2024-08-15,2054-08-15,商標法,極めて重要,機密,,v1.0,保管中,知財部長 佐藤一郎,2024-08-20,
DOC-2024-1544,2024年度内部監査報告書,内部監査報告書,2024-12-25,監査室 鈴木健一,2024-12-26,総務部 田中次郎,電子のみ,,SharePoint>監査室,/監査/2024/内部監査報告.docx,5,2025-03-31,2030-03-31,,重要,部門限定,,v1.0,保管中,監査室長 鈴木健一,2024-12-28,
DOC-2024-1545,就業規則_2024年改訂版,就業規則,2024-04-01,総務部 加藤洋子,2024-04-01,総務部 田中次郎,電子のみ,,SharePoint>総務部,/規程/就業規則_2024.pdf,3,2024-04-01,2027-04-01,労働基準法第89条,重要,公開,DOC-2021-0832,v3.0,保管中,総務部長 加藤洋子,2024-04-01,最新版は常時閲覧可能
DOC-2024-1546,文書管理規程_2024年版,文書管理規程,2024-08-01,総務部 加藤洋子,2024-08-02,総務部 田中次郎,電子のみ,,SharePoint>総務部,/規程/文書管理規程_2024.pdf,3,2024-08-01,2027-08-01,,通常,公開,DOC-2022-0445,v2.0,保管中,総務部長 加藤洋子,2024-08-10,
DOC-2025-0010,新オフィス移転稟議書,稟議書,2025-01-07,総務部 田中次郎,2025-01-07,総務部 田中次郎,電子のみ,,ワークフローシステム,/稟議/2025/新オフィス移転.pdf,5,2025-01-15,2030-01-15,,重要,部門限定,,v1.0,承認待ち,,,承認中
DOC-2024-1547,社印使用記録_2024年12月,社印管理台帳,2024-12-31,総務部 加藤洋子,2025-01-05,総務部 加藤洋子,紙のみ,総務部金庫,,,,3,2025-03-31,2028-03-31,,重要,極秘,,,保管中,総務部長 加藤洋子,,厳重管理
DOC-2024-1548,I社顧客情報,顧客情報,2024-07-10,営業部 中村大輔,2024-07-11,営業部 中村大輔,電子のみ,,CRMシステム,/顧客/I社/基本情報.json,5,2024-07-10,2029-07-10,個人情報保護法,重要,機密,,,保管中,営業部長 木下剛,,個人情報
DOC-2024-1549,Jプロジェクト完了報告書,プロジェクト完了報告書,2024-11-25,事業部 林優子,2024-11-26,総務部 田中次郎,電子のみ,,SharePoint>プロジェクト管理,/プロジェクト/J/完了報告.pptx,5,2024-11-30,2029-11-30,,重要,部門限定,,v1.0,保管中,事業部長 渡辺健,2024-11-28,
DOC-2024-1550,製品X技術マニュアル,技術マニュアル,2024-09-10,開発部 木村拓也,2024-09-11,総務部 田中次郎,電子のみ,,SharePoint>開発部,/開発/製品X/技術マニュアル_v1.pdf,10,2024-09-10,2034-09-10,,重要,公開,,v1.0,保管中,開発部長 伊藤健太,2024-09-15,
DOC-2024-1551,2024年12月システムログ,システムログ,2024-12-31,IT部 森本健太,2025-01-01,IT部 森本健太,電子のみ,,ログ管理サーバー,/logs/2024/12/system.log,1,2024-12-31,2025-12-31,,通常,部門限定,,,保管中,,,
DOC-2025-0011,2025年1月バックアップ,データバックアップ,2025-01-01,IT部 森本健太,2025-01-01,IT部 森本健太,電子のみ,,バックアップサーバー,/backup/2025/01/full_backup.tar.gz,1,2025-01-01,2026-01-01,,極めて重要,機密,,,保管中,,,
DOC-2024-1552,公式X投稿_新製品発表,公式SNS投稿,2024-12-10,広報部 佐々木麻衣,2024-12-10,広報部 佐々木麻衣,電子のみ,,SNS管理ツール,/SNS/2024/12/新製品発表_screenshot.png,3,2024-12-10,2027-12-10,著作権法,通常,公開,,,保管中,,,スクリーンショット保存済
DOC-2024-1553,K社訴訟関係書類,訴訟関係書類,2024-03-15,法務部 山田花子,2024-03-16,総務部 田中次郎,紙+電子,本社金庫,法務文書管理システム,/法務/訴訟/2024/K社.pdf,30,2024-08-20,2054-08-20,民事訴訟法,極めて重要,極秘,,v1.0,保管中,法務部長 鈴木健,2024-08-25,極秘扱い
DOC-2024-1554,L社健康保険資格取得届,健康保険関係書類,2024-05-10,人事部 渡辺真理,2024-05-10,人事部 渡辺真理,電子のみ,,人事システム,/人事/社会保険/2024/L社_取得.pdf,5,2024-05-10,2029-05-10,健康保険法,重要,極秘,,,保管中,人事部長 小林恵子,,
DOC-2024-1555,登記簿謄本_2024年取得,登記簿謄本,2024-09-25,総務部 田中次郎,2024-09-26,総務部 田中次郎,紙+電子,本社金庫,法務文書管理システム,/法務/登記/2024_謄本.pdf,0,2024-09-25,9999-12-31,会社法,極めて重要,機密,,,保管中,総務部長 加藤洋子,,永久保存
DOC-2019-0001,定款_2019年改訂版,定款,2019-06-15,総務部 前田健,2019-06-16,総務部 前田健,紙+電子,本社金庫,法務文書管理システム,/法務/定款/2019_改訂.pdf,0,2019-06-15,9999-12-31,会社法第26条,極めて重要,機密,DOC-2016-0123,v5.0,保管中,代表取締役 佐藤一郎,2019-06-20,永久保存
