記録ID,大分類,中分類,記録種別名,記録の説明,保存期間,保存期間単位,保存期間起算基準,法的根拠,主管部門,媒体,保管場所（物理）,保管場所（電子）,メタデータ要件,アクセス制限,廃棄方法（紙）,廃棄方法（電子）,廃棄承認者,重要度,電子化要否,バックアップ要否,バックアップ頻度,監査対象,関連法令,備考,最終更新日,更新者
REC-F-007,財務・会計,予算・計画,年度予算書,年度予算計画書,3,年,会計年度末,,経営企画部,電子のみ,,SharePoint>経営企画,,部門限定,,論理削除,経営企画部長,重要,必須,要,週次,,,2025-01-06,経営企画部 伊藤誠
REC-F-008,財務・会計,予算・計画,中期経営計画,3-5年の中期経営計画書,10,年,作成日,,経営企画部,電子のみ,,SharePoint>経営企画,暗号化,機密,,論理削除,代表取締役,極めて重要,必須,要,週次,,会社法,機密情報,2024-11-20,経営企画部 伊藤誠
REC-H-001,人事・労務,人事記録,労働者名簿,従業員の基本情報名簿,5,年,退職日,労働基準法第109条,人事部,電子のみ,,人事システム,暗号化,極秘,,DOD方式消去,人事部長,極めて重要,必須,要,日次,対象,労働基準法,個人情報、厳重管理,2025-01-14,人事部 渡辺真理
REC-H-002,人事・労務,人事記録,雇用契約書,従業員との雇用契約書,5,年,退職日,労働基準法,人事部,紙+電子（並行）,人事部金庫,人事システム,電子署名,極秘,溶解処理,DOD方式消去,人事部長,極めて重要,推奨,要,日次,対象,労働基準法,原本は紙で保管,2025-01-14,人事部 渡辺真理
REC-H-003,人事・労務,給与・賞与,給与台帳,給与支給記録,5,年,支給日,労働基準法第109条,人事部,電子のみ,,給与システム,暗号化、タイムスタンプ,極秘,,DOD方式消去,人事部長,極めて重要,必須,要,日次,対象,労働基準法、税法,個人情報,2025-01-11,人事部 渡辺真理
REC-H-004,人事・労務,勤怠管理,出勤簿,従業員の勤怠記録,5,年,作成日,労働基準法第109条,人事部,電子のみ,,勤怠システム,タイムスタンプ,部門限定,,論理削除,人事部長,重要,必須,要,日次,対象,労働基準法,,2025-01-11,人事部 渡辺真理
REC-H-005,人事・労務,社会保険,健康保険関係書類,健康保険の資格取得・喪失等,5,年,完結日,健康保険法,人事部,電子のみ,,人事システム,暗号化,極秘,,論理削除,人事部長,重要,必須,要,週次,,健康保険法,,2024-12-05,人事部 渡辺真理
REC-H-006,人事・労務,教育訓練,研修記録,従業員研修の実施記録,3,年,実施日,,人事部,電子のみ,,SharePoint>人事部,,部門限定,,論理削除,人事部長,通常,任意,要,週次,,,,2024-10-20,人事部 小林恵子
REC-G-001,総務・庶務,株主総会,株主総会議事録,株主総会の議事録,0,永久,作成日,会社法第318条,総務部,紙+電子（並行）,本社金庫,法務文書管理システム,電子署名、タイムスタンプ,機密,永久保存,永久保存,代表取締役,極めて重要,必須,要,日次,対象,会社法,永久保存、厳重管理,2025-01-13,総務部 田中次郎
REC-G-002,総務・庶務,取締役会,取締役会議事録,取締役会の議事録,10,年,作成日,会社法第371条,総務部,紙+電子（並行）,本社金庫,法務文書管理システム,電子署名,機密,溶解処理,論理削除,代表取締役,極めて重要,必須,要,日次,対象,会社法,,2025-01-13,総務部 田中次郎
REC-G-003,総務・庶務,登記関連,登記簿謄本,会社の登記簿謄本,0,永久,取得日,会社法,総務部,紙+電子（並行）,本社金庫,法務文書管理システム,,機密,永久保存,永久保存,総務部長,極めて重要,必須,要,月次,対象,会社法,永久保存,2024-09-30,総務部 田中次郎
REC-G-004,総務・庶務,定款,定款,会社の根本規則,0,永久,制定日,会社法第26条,総務部,紙+電子（並行）,本社金庫,法務文書管理システム,,機密,永久保存,永久保存,代表取締役,極めて重要,必須,要,月次,対象,会社法,永久保存、厳重管理,2024-06-15,総務部 田中次郎
REC-G-005,総務・庶務,社内規程,就業規則,就業規則および付属規程,3,年,改訂日,労働基準法第89条,総務部,電子のみ,,SharePoint>総務部,,公開,,論理削除,総務部長,重要,必須,要,週次,,労働基準法,最新版は常時閲覧可能に,2025-01-09,総務部 加藤洋子
REC-G-006,総務・庶務,社内規程,文書管理規程,文書管理に関する社内規程,3,年,改訂日,,総務部,電子のみ,,SharePoint>総務部,,公開,,論理削除,総務部長,通常,必須,要,週次,,,2024-08-12,総務部 加藤洋子
REC-G-007,総務・庶務,稟議・決裁,稟議書,重要事項の稟議書類,5,年,承認日,,総務部,電子のみ,,ワークフローシステム,電子署名,部門限定,,論理削除,各部門長,重要,必須,要,日次,,,2025-01-07,総務部 田中次郎
REC-G-008,総務・庶務,庶務,社印管理台帳,会社印鑑の使用記録,3,年,会計年度末,,総務部,紙のみ,総務部金庫,,,極秘,溶解処理,,総務部長,重要,不要,不要,,,厳重管理,2024-12-28,総務部 加藤洋子
REC-B-001,事業・営業,営業活動,営業日報,日々の営業活動記録,3,年,作成日,,営業部,電子のみ,,CRMシステム,,部門限定,,論理削除,営業部長,通常,必須,要,日次,,,2025-01-05,営業部 中村大輔
REC-B-002,事業・営業,営業活動,見積書,顧客向け見積書,5,年,作成日,,営業部,電子のみ,,CRMシステム、SharePoint,,部門限定,,論理削除,営業部長,通常,必須,要,日次,,,2024-12-22,営業部 中村大輔
REC-B-003,事業・営業,営業活動,受注書,受注確定書類,7,年,受注日,商法,営業部,電子のみ,,CRMシステム,電子署名,部門限定,,論理削除,営業部長,重要,必須,要,日次,対象,商法,,2024-12-22,営業部 中村大輔
REC-B-004,事業・営業,顧客管理,顧客情報,顧客の基本情報・取引履歴,5,年,取引終了日,,営業部,電子のみ,,CRMシステム,暗号化,機密,,DOD方式消去,営業部長,重要,必須,要,日次,,個人情報保護法,個人情報、厳重管理,2025-01-04,営業部 中村大輔
REC-B-005,事業・営業,プロジェクト,プロジェクト計画書,プロジェクトの計画・進捗管理,5,年,プロジェクト完了日,,事業部,電子のみ,,SharePoint>プロジェクト管理,,部門限定,,論理削除,事業部長,重要,必須,要,週次,,,2024-11-30,事業部 林優子
REC-B-006,事業・営業,プロジェクト,プロジェクト完了報告書,プロジェクトの成果・教訓,5,年,完了日,,事業部,電子のみ,,SharePoint>プロジェクト管理,,部門限定,,論理削除,事業部長,重要,必須,要,週次,,,2024-11-30,事業部 林優子
REC-T-001,技術・開発,開発文書,設計仕様書,システム・製品の設計仕様,10,年,完成日,,開発部,電子のみ,,GitLab、SharePoint,,部門限定,,論理削除,開発部長,重要,必須,要,日次,,,2024-12-18,開発部 木村拓也
REC-T-002,技術・開発,開発文書,ソースコード,プログラムのソースコード,10,年,リリース日,,開発部,電子のみ,,GitHub、GitLab,,部門限定,,論理削除,開発部長,重要,必須,要,日次,,著作権法,バージョン管理必須,2024-12-18,開発部 木村拓也
REC-T-003,技術・開発,開発文書,テスト結果報告書,システムテストの結果報告,5,年,完了日,,開発部,電子のみ,,SharePoint>開発部,,部門限定,,論理削除,開発部長,通常,必須,要,週次,,,2024-10-25,開発部 木村拓也
REC-T-004,技術・開発,技術資料,技術マニュアル,製品・システムの技術資料,10,年,作成日,,開発部,電子のみ,,SharePoint>開発部,,公開,,論理削除,開発部長,重要,必須,要,週次,,,2024-09-14,開発部 木村拓也
REC-I-001,情報システム,システム管理,システム構成図,ITシステムの構成図,5,年,作成日,,IT部,電子のみ,,SharePoint>IT部,暗号化,機密,,論理削除,IT部長,重要,必須,要,週次,,サイバーセキュリティ基本法,機密情報,2025-01-02,IT部 森本健太
REC-I-002,情報システム,システム管理,システムログ,サーバー・アプリのログ,1,年,取得日,,IT部,電子のみ,,ログ管理サーバー,,部門限定,,論理削除,IT部長,通常,必須,要,日次,,,2024-12-01,IT部 森本健太
REC-I-003,情報システム,セキュリティ,インシデント報告書,セキュリティインシデントの報告,5,年,発生日,,IT部,電子のみ,,SharePoint>IT部,暗号化、タイムスタンプ,極秘,,論理削除,IT部長,極めて重要,必須,要,日次,対象,,厳重管理,2024-08-20,IT部 森本健太
REC-I-004,情報システム,バックアップ,データバックアップ,業務データの定期バックアップ,1,年,取得日,,IT部,電子のみ,,バックアップサーバー、クラウド,暗号化,機密,,物理破壊,IT部長,極めて重要,必須,要,日次,,,2025-01-01,IT部 森本健太
REC-C-001,広報・IR,広報活動,プレスリリース,報道機関向けプレスリリース,5,年,発表日,,広報部,電子のみ,,SharePoint>広報部、公式サイト,,公開,,論理削除,広報部長,通常,必須,要,週次,,,2024-12-10,広報部 佐々木麻衣
REC-C-002,広報・IR,広報活動,公式SNS投稿,X、Facebook等の公式投稿,3,年,投稿日,,広報部,電子のみ,,SNS管理ツール,,公開,,論理削除,広報部長,通常,必須,要,日次,,著作権法,スクリーンショット保存,2024-11-28,広報部 佐々木麻衣
REC-C-003,広報・IR,IR活動,決算説明資料,投資家向け決算説明会資料,10,年,開催日,金融商品取引法,IR部,電子のみ,,SharePoint>IR部、IRサイト,,公開,,論理削除,IR部長,重要,必須,要,週次,対象,金融商品取引法,,2024-12-15,IR部 岡田智子
