contract_id,vendor_id,vendor_name,contract_number,contract_name,contract_type,contract_start_date,contract_end_date,contract_duration_months,total_contract_amount,monthly_amount,annual_amount,auto_renewal_flag,renewal_count,contract_signed_date,contract_department,contract_owner,has_sla,has_kpi,termination_terms,payment_terms,contract_file_location,contract_status
C000014,V00006,株式会社イノベーションイノベーション,2024-BP-0014,株式会社イノベーショ 固定金額（月額）契約,固定金額（月額）,2024-08-25,2024-11-23,3,693956,231318,2775816,True,3,2024-08-06,経理部,田中太郎,True,False,随時解約可能,年次払い,/contracts/2024/BPO・業務委託/000014.pdf,解約済
C000015,V00006,株式会社イノベーションイノベーション,2025-BP-0015,株式会社イノベーショ 固定金額（月額）契約,固定金額（月額）,2025-03-06,2025-06-04,3,2774626,924875,11098500,True,1,2025-02-24,人事部,佐藤麻衣,True,False,随時解約可能,四半期払い,/contracts/2025/BPO・業務委託/000015.pdf,解約済
C000016,V00006,株式会社イノベーションイノベーション,2025-BP-0016,株式会社イノベーショ 固定金額（一括）契約,固定金額（一括）,2025-12-25,2026-06-23,6,1222132,203688,2444256,True,2,2025-12-17,情報システム部,田中翔太,True,True,3ヶ月前の書面通知,年次払い,/contracts/2025/BPO・業務委託/000016.pdf,有効
C000017,V00007,合同会社イノベーションシステムズ,2025-その-0017,合同会社イノベーショ 固定金額（月額）契約,固定金額（月額）,2025-05-14,2025-11-10,6,6942410,1157068,13884816,True,1,2025-04-25,企画部,加藤あゆみ,True,True,3ヶ月前の書面通知,月次払い,/contracts/2025/その他/000017.pdf,解約済
C000018,V00008,有限会社グローバルパートナーズ,2024-コン-0018,有限会社グローバルパ 固定金額（月額）契約,固定金額（月額）,2024-09-29,2025-09-24,12,234589,19549,234588,True,2,2024-09-05,企画部,中村浩,True,False,随時解約可能,月次払い,/contracts/2024/コンサルティング/000018.pdf,有効
C000019,V00008,有限会社グローバルパートナーズ,2024-コン-0019,有限会社グローバルパ 固定金額（月額）契約,固定金額（月額）,2024-10-09,2025-10-04,12,106635,8886,106632,True,2,2024-10-01,人事部,小林美穂,True,False,随時解約可能,月次払い,/contracts/2024/コンサルティング/000019.pdf,有効
C000020,V00008,有限会社グローバルパートナーズ,2025-コン-0020,有限会社グローバルパ 固定金額（月額）契約,固定金額（月額）,2025-11-28,2026-11-23,12,1656080,138006,1656072,False,1,2025-11-09,マーケティング部,小林さくら,True,True,3ヶ月前の書面通知,月次払い,/contracts/2025/コンサルティング/000020.pdf,有効
C000021,V00008,有限会社グローバルパートナーズ,2024-コン-0021,有限会社グローバルパ 準委任（人月）契約,準委任（人月）,2024-03-13,2025-03-08,12,239408,19950,239400,True,3,2024-02-23,マーケティング部,井上隆,False,False,3ヶ月前の書面通知,都度払い,/contracts/2024/コンサルティング/000021.pdf,有効
C000022,V00008,有限会社グローバルパートナーズ,2024-コン-0022,有限会社グローバルパ 準委任（時間単価）契約,準委任（時間単価）,2024-11-13,2026-11-03,24,19651934,818830,9825960,False,3,2024-10-24,営業部,佐藤隆,True,False,随時解約可能,月次払い,/contracts/2024/コンサルティング/000022.pdf,有効
C000023,V00009,合同会社システムラボ,2024-IT-0023,合同会社システムラボ 成果報酬契約,成果報酬,2024-09-29,2024-12-28,3,26948029,8982676,107792112,True,0,2024-09-03,営業部,山崎真由美,False,False,1ヶ月前の書面通知,月次払い,/contracts/2024/IT・システム開発/000023.pdf,有効
C000024,V00009,合同会社システムラボ,2025-IT-0024,合同会社システムラボ 固定金額（月額）契約,固定金額（月額）,2025-11-28,2026-11-23,12,2818648,234887,2818644,True,2,2025-11-08,経理部,加藤優子,False,True,3ヶ月前の書面通知,月次払い,/contracts/2025/IT・システム開発/000024.pdf,有効
C000025,V00009,合同会社システムラボ,2025-IT-0025,合同会社システムラボ 準委任（時間単価）契約,準委任（時間単価）,2025-04-24,2026-04-19,12,13796559,1149713,13796556,True,2,2025-04-09,企画部,松本優子,False,False,随時解約可能,月次払い,/contracts/2025/IT・システム開発/000025.pdf,解約済
C000026,V00009,合同会社システムラボ,2025-IT-0026,合同会社システムラボ 固定金額（月額）契約,固定金額（月額）,2025-08-09,2026-08-04,12,2801272,233439,2801268,True,0,2025-07-15,マーケティング部,山田一郎,True,True,3ヶ月前の書面通知,月次払い,/contracts/2025/IT・システム開発/000026.pdf,期限切れ
C000027,V00009,合同会社システムラボ,2024-IT-0027,合同会社システムラボ 固定金額（月額）契約,固定金額（月額）,2024-10-14,2025-01-12,3,19306112,6435370,77224440,False,2,2024-09-28,営業部,佐藤翔太,True,False,随時解約可能,月次払い,/contracts/2024/IT・システム開発/000027.pdf,有効
C000028,V00010,株式会社クラウドコンサルティング,2025-IT-0028,株式会社クラウドコン 固定金額（月額）契約,固定金額（月額）,2025-08-08,2025-11-06,3,301729,100576,1206912,True,2,2025-07-28,品質管理部,佐藤誠,True,True,3ヶ月前の書面通知,四半期払い,/contracts/2025/IT・システム開発/000028.pdf,有効
C000029,V00010,株式会社クラウドコンサルティング,2024-IT-0029,株式会社クラウドコン その他契約,その他,2024-09-28,2025-09-23,12,1249454,104121,1249452,True,3,2024-09-19,品質管理部,佐藤花子,True,True,1ヶ月前の書面通知,四半期払い,/contracts/2024/IT・システム開発/000029.pdf,有効
C000030,V00010,株式会社クラウドコンサルティング,2025-IT-0030,株式会社クラウドコン 固定金額（月額）契約,固定金額（月額）,2025-11-15,2026-05-14,6,1978260,329710,3956520,True,3,2025-11-02,営業部,松本愛,False,False,1ヶ月前の書面通知,四半期払い,/contracts/2025/IT・システム開発/000030.pdf,有効
C000031,V00010,株式会社クラウドコンサルティング,2024-IT-0031,株式会社クラウドコン 準委任（人月）契約,準委任（人月）,2024-03-22,2025-03-17,12,459689,38307,459684,True,0,2024-02-26,総務部,吉田拓也,True,True,随時解約可能,月次払い,/contracts/2024/IT・システム開発/000031.pdf,有効
C000032,V00010,株式会社クラウドコンサルティング,2024-IT-0032,株式会社クラウドコン 準委任（人月）契約,準委任（人月）,2024-04-22,2024-07-21,3,2896043,965347,11584164,True,3,2024-04-07,品質管理部,田中修,True,False,1ヶ月前の書面通知,四半期払い,/contracts/2024/IT・システム開発/000032.pdf,有効
C000033,V00011,イノベーションコーポレーション株式会社,2024-IT-0033,イノベーションコーポ 準委任（人月）契約,準委任（人月）,2024-02-20,2025-02-14,12,95145935,7928827,95145924,True,3,2024-02-10,品質管理部,加藤誠,False,True,3ヶ月前の書面通知,月次払い,/contracts/2024/IT・システム開発/000033.pdf,有効
C000034,V00011,イノベーションコーポレーション株式会社,2024-IT-0034,イノベーションコーポ 準委任（時間単価）契約,準委任（時間単価）,2024-06-13,2025-06-08,12,622243,51853,622236,False,0,2024-05-21,経理部,山崎翔太,True,False,随時解約可能,月次払い,/contracts/2024/IT・システム開発/000034.pdf,有効
C000035,V00012,合同会社スマートデザイン,2024-マー-0035,合同会社スマートデザ 固定金額（月額）契約,固定金額（月額）,2024-10-16,2026-10-06,24,15886492,661937,7943244,True,2,2024-09-29,総務部,松本美咲,False,False,1ヶ月前の書面通知,都度払い,/contracts/2024/マーケティング/000035.pdf,有効
C000036,V00013,株式会社インテグレーションパートナーズ,2024-コン-0036,株式会社インテグレー 成果報酬契約,成果報酬,2024-11-12,2025-11-07,12,4112041,342670,4112040,True,2,2024-10-25,人事部,吉田大輔,False,False,随時解約可能,月次払い,/contracts/2024/コンサルティング/000036.pdf,期限切れ
C000037,V00013,株式会社インテグレーションパートナーズ,2025-コン-0037,株式会社インテグレー 準委任（人月）契約,準委任（人月）,2025-10-12,2026-10-07,12,150881,12573,150876,True,0,2025-09-17,人事部,鈴木愛,True,False,3ヶ月前の書面通知,都度払い,/contracts/2025/コンサルティング/000037.pdf,有効
C000038,V00013,株式会社インテグレーションパートナーズ,2025-コン-0038,株式会社インテグレー 固定金額（月額）契約,固定金額（月額）,2025-03-30,2026-03-25,12,1759397,146616,1759392,False,0,2025-03-11,マーケティング部,小林美咲,True,False,1ヶ月前の書面通知,月次払い,/contracts/2025/コンサルティング/000038.pdf,有効
C000039,V00014,有限会社プロフェッショナルコーポレーション,2025-IT-0039,有限会社プロフェッシ 準委任（時間単価）契約,準委任（時間単価）,2025-03-09,2026-03-04,12,7659167,638263,7659156,True,0,2025-02-13,研究開発部,清水隆,True,False,3ヶ月前の書面通知,月次払い,/contracts/2025/IT・システム開発/000039.pdf,期限切れ
C000040,V00014,有限会社プロフェッショナルコーポレーション,2024-IT-0040,有限会社プロフェッシ 固定金額（一括）契約,固定金額（一括）,2024-10-22,2025-10-17,12,680540,56711,680532,True,2,2024-10-14,企画部,小林愛,True,True,随時解約可能,四半期払い,/contracts/2024/IT・システム開発/000040.pdf,有効
C000041,V00014,有限会社プロフェッショナルコーポレーション,2024-IT-0041,有限会社プロフェッシ 固定金額（月額）契約,固定金額（月額）,2024-05-18,2024-11-14,6,292572,48762,585144,False,2,2024-04-22,営業部,木村麻衣,False,False,1ヶ月前の書面通知,四半期払い,/contracts/2024/IT・システム開発/000041.pdf,有効
C000042,V00015,ソリューションパートナーズ株式会社,2025-その-0042,ソリューションパート 準委任（人月）契約,準委任（人月）,2025-11-26,2026-11-21,12,666880,55573,666876,True,2,2025-11-06,品質管理部,山口隆,True,True,3ヶ月前の書面通知,月次払い,/contracts/2025/その他/000042.pdf,有効
C000043,V00016,有限会社テクノロジースタジオ,2024-コン-0043,有限会社テクノロジー 固定金額（一括）契約,固定金額（一括）,2024-12-11,2026-12-01,24,2277853,94910,1138920,False,3,2024-11-13,総務部,山本大輔,False,False,3ヶ月前の書面通知,月次払い,/contracts/2024/コンサルティング/000043.pdf,有効
C000044,V00016,有限会社テクノロジースタジオ,2024-コン-0044,有限会社テクノロジー 固定金額（一括）契約,固定金額（一括）,2024-10-02,2024-12-31,3,2851945,950648,11407776,True,0,2024-09-06,マーケティング部,伊藤太郎,False,False,1ヶ月前の書面通知,月次払い,/contracts/2024/コンサルティング/000044.pdf,有効
C000045,V00016,有限会社テクノロジースタジオ,2025-コン-0045,有限会社テクノロジー 固定金額（一括）契約,固定金額（一括）,2025-04-17,2026-04-12,12,845209,70434,845208,False,1,2025-04-09,品質管理部,松本修,True,True,3ヶ月前の書面通知,月次払い,/contracts/2025/コンサルティング/000045.pdf,解約済
C000046,V00016,有限会社テクノロジースタジオ,2024-コン-0046,有限会社テクノロジー 固定金額（月額）契約,固定金額（月額）,2024-03-08,2024-06-06,3,2403651,801217,9614604,True,3,2024-02-22,製造部,田中太郎,False,False,3ヶ月前の書面通知,月次払い,/contracts/2024/コンサルティング/000046.pdf,期限切れ
C000047,V00016,有限会社テクノロジースタジオ,2024-コン-0047,有限会社テクノロジー 固定金額（月額）契約,固定金額（月額）,2024-12-30,2025-12-25,12,7491929,624327,7491924,True,0,2024-11-30,マーケティング部,高橋さくら,True,False,1ヶ月前の書面通知,月次払い,/contracts/2024/コンサルティング/000047.pdf,有効
C000048,V00017,株式会社AIシステムズ,2024-BP-0048,株式会社AIシステム 固定金額（月額）契約,固定金額（月額）,2024-08-10,2025-08-05,12,768944,64078,768936,True,2,2024-07-15,営業部,井上拓也,True,True,1ヶ月前の書面通知,月次払い,/contracts/2024/BPO・業務委託/000048.pdf,有効
C000049,V00017,株式会社AIシステムズ,2024-BP-0049,株式会社AIシステム 準委任（人月）契約,準委任（人月）,2024-08-19,2025-08-14,12,15757251,1313104,15757248,True,0,2024-08-10,製造部,鈴木さくら,True,True,3ヶ月前の書面通知,月次払い,/contracts/2024/BPO・業務委託/000049.pdf,有効
C000050,V00017,株式会社AIシステムズ,2024-BP-0050,株式会社AIシステム 固定金額（一括）契約,固定金額（一括）,2024-07-07,2024-10-05,3,460046,153348,1840176,False,2,2024-06-10,総務部,清水愛,True,False,随時解約可能,月次払い,/contracts/2024/BPO・業務委託/000050.pdf,解約済
